hora leitura;mês consulta;código FIPE;marca;modelo obtido;preço;modelo desejado;observação
Fri Jul 26 18:04:25 2024;julho de 2024;890001-9;AVELLOZ;AZ 01 50cc;R$ 9.527,00;AZ 01 50cc;--
Fri Jul 26 18:04:43 2024;julho de 2024;837004-4;BAJAJ;DOMINAR 160;R$ 16.795,00;DOMINAR 160;--
Fri Jul 26 18:04:53 2024;julho de 2024;837005-2;BAJAJ;DOMINAR 200;R$ 18.455,00;DOMINAR 200;--
Fri Jul 26 18:05:03 2024;julho de 2024;837003-6;BAJAJ;DOMINAR 400;R$ 24.633,00;DOMINAR 400;--
Fri Jul 26 18:05:45 2024;julho de 2024;803101-0;BMW;C 400 X;R$ 55.674,00;C 400 X;--
Fri Jul 26 18:05:55 2024;julho de 2024;803100-2;BMW;C 400 X Sport;R$ 60.657,00;C 400 X Sport;--
Fri Jul 26 18:06:05 2024;julho de 2024;803067-7;BMW;F 750 GS Premium;R$ 68.956,00;F 750 GS Premium;--
Fri Jul 26 18:06:16 2024;julho de 2024;803066-9;BMW;F 750 GS Sport;R$ 62.847,00;F 750 GS Sport;--
Fri Jul 26 18:06:26 2024;julho de 2024;803071-5;BMW;F 850 GS Adventure Premium;R$ 84.195,00;F 850 GS Adventure Premium;--
Fri Jul 26 18:06:36 2024;julho de 2024;803069-3;BMW;F 850 GS Premium;R$ 74.041,00;F 850 GS Premium;--
Fri Jul 26 18:06:46 2024;julho de 2024;803096-0;BMW;F 900 R Sport;R$ 64.097,00;F 900 R Sport;--
Fri Jul 26 18:06:57 2024;julho de 2024;803097-9;BMW;F 900 R Sport Plus;R$ 72.990,00;F 900 R Sport Plus;--
Fri Jul 26 18:07:07 2024;julho de 2024;803062-6;BMW;G 310 GS;R$ 38.641,00;G 310 GS;--
Fri Jul 26 18:07:17 2024;julho de 2024;803060-0;BMW;G 310 R;R$ 35.571,00;G 310 R;--
Fri Jul 26 18:07:28 2024;julho de 2024;803061-8;BMW;K 1600 BAGGER;R$ 317.000,00;K 1600 BAGGER;--
Fri Jul 26 18:07:38 2024;julho de 2024;803043-0;BMW;K 1600 GTL;R$ 321.261,00;K 1600 GTL;--
Fri Jul 26 18:07:48 2024;julho de 2024;803091-0;BMW;R 1250 GS Adv.Premium Triple Black 719;R$ 133.622,00;R 1250 GS Adv.Premium Triple Black 719;--
Fri Jul 26 18:07:59 2024;julho de 2024;803082-0;BMW;R 1250 GS Adventure Premium Rallye;R$ 128.744,00;R 1250 GS Adventure Premium Rallye;--
Fri Jul 26 18:08:09 2024;julho de 2024;803086-3;BMW;R 1250 GS Adventure Premium Triple Black;R$ 128.774,00;R 1250 GS Adventure Premium Triple Black;--
Fri Jul 26 18:08:20 2024;julho de 2024;803095-2;BMW;R 1250 GS Adventure Premium Trophy;R$ 128.625,00;R 1250 GS Adventure Premium Trophy;--
Fri Jul 26 18:08:30 2024;julho de 2024;803083-9;BMW;R 1250 GS Premium Rallye;R$ 111.528,00;R 1250 GS Premium Rallye;--
Fri Jul 26 18:08:41 2024;julho de 2024;803084-7;BMW;R 1250 GS Premium Triple Black;R$ 111.850,00;R 1250 GS Premium Triple Black;--
Fri Jul 26 18:08:51 2024;julho de 2024;803090-1;BMW;R 1250 GS Premium Triple Black 719;R$ 119.200,00;R 1250 GS Premium Triple Black 719;--
